Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
KOPERASI TIRTA BINA KARYA ,,,,
ARUS KAS BANK,,,,
TAHUN 2025,,,,
Saldo Awal Kas Bank Desember th 2024,,133978032,,
,,,,
PENERIMAAN,,,WAJIB,
Penerimaan Pokok Piutang,516620298,,TOTAL S/P,589841327.0
Peneimaan Jasa Piutang,88820800,,JASA,88820800.0
Penerimaan Simpanan Wajib,14400000,,WAJIB,14400000.0
Dana Resiko,0,,,
Pendapatan ADM,0,,PENGURANGAN,
Penerimaan SWP,0,,POKOK,486620527.0
Penerimanaan Bunga Bank,420627,,JASA,
,,,,
,,,,
,620261725,,,
Jumlah Penerimaan,754239757,,,29999771.0
,,,,
PENGELUARAN,,,,
Penarikan,541180000,,,
Biaya ADM Bank,0,,,
Biaya Pajak Bank,83028,,,
Jumlah Pengeluaran,541263028,,,
Saldo Akhir Kas Bank Desember 2025,,212976729,,
,,,False,
"PENGURUS,",,,,129119980.0
KOPERASI TIRTA BINA KARYA ,,,,
,,,,126495998.0
KETUA,SEKRETARIS,BENDAHARA,,86480731.0
,,,,
,,,,
,,,,
"KHARIL ANUAR, ST, M.Si",MAISAR DAMRI,GUSNI,,
