KOPERASI TIRTA BINA KARYA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,CADANGAN,Unnamed: 9,12647759.6
NERACA AWAL,,,,,,,,SHU BAGIAN ANGGOTA BERJASA,,7904849.75
PER 31 DESEMBER 2025,,,,,,,,SHU BAGIAN ANGGOTA MENYIMPAN,,4742909.85
HARTA,,,KEWAJIBAN DAN MODAL SENDIRI,,,,,BAGIAN PENGURUS,,1580969.95
I. Harta Lancar,,,,IV. Kewajiban Jk. Pendek,,,0,BAGIAN KARYAWAN,,1580969.95
 -,Kas,12460347.0,, -,Simpanan Sukarela,67736378.0,67736378,PENDIDIKAN,,1580969.95
 -,Bank BRK Syariah,733339185.0,, -,Dana Titipan Anggota,0.0,,SOSIAL ,,790484.975
-,Piutang Anggota Periode 2025,94765344.0,, -,Dana Pendidikan,65597421.95,,PEMDAKER,,790484.975
-,Piutang Anggota Periode 2018,73000000.0,, -,Dana Sosial,76567375.975,,,,
 -,Piutang Tak Tertagih,0.0,, -,Dana Pemdaker,61837878.975,piutang berhenti pensiun,282193000,,
-,Sisa Piutang Pengurus Periode 2025,473000000.0,, -,Dana Cadangan Resiko,171000000.0,,,,
 -,,,, -,Dana SWP,0.0,piutang berjjalan,,,
 -,,,, -,Hutang Pajak,11355553.0,TOTAL,,,
-,,,, -,Hutang SHU TB,0.0,,,,94300000.0
,Jumlah,1386564876.0,,,,,,,,-385700000.0
II. PENYERTAAN,,,,,,,,,,
 -,Simpanan Pada PK-PRI,6981810.0,,,,,,0,,943000000.0
,Jumlah,6981810.0,,,Jumlah ,454094607.90000004,PIUTANG OKTOBER,62831890.4761905,,443000000.0
,,,,,,,POT NOV,43643890.4761905,,463000000.0
II. Harta Tetap,,,,V. Kewajiban Jk. Panjang,,,POT DES,22644200,,
 -,Tanah,0.0,, -,Hutang Bank,0.0,,129119980.952381,,
 -,Bangunan,0.0,, -, -,0.0,,,,
 -,Ak. Peny. Bangunan,0.0,, -,Jumlah ,0.0,,,,
 -,Iventaris,25303500.0,,V. Modal,,,,,,
 -,Ak. Peny. Inventaris,-5103500.0,, -,Simpanan Pokok,5210000.0,5210000,0,,
 -,Jumlah,20200000.0,, -,Simpanan Wajib,214156000.0,214156000,0,462064448.0,
,,,, -,Simpanan Wajib Peminjam,451533740.0,451533740,0,,
III. Harta Lain-lain,,,, -,Donasi/Hibah,11958150.0,,,,
 -,Legalitas Kop,0.0,, -,SHU Tahun Berjalan,30180899.0,,,,
 -,Ak. Penyusutan,0.0,, -,Cadangan,246613289.0,,,,
,Jumlah,0.0,,,,,,,,
,,,, -,Jumlah,959652078.0,,,,
TOTAL HARTA,,1413746686.0,TOTAL  KEWAJIBAN DAN MODAL SENDIRI,,,1413746685.9,-0.09999990463256836, ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PENGURUS,,,,,,,,,,
KOPERASI TIRTA BINA KARYA,,,,,,,,,,
,,,,,,,,,,
KETUA,,,,,BENDAHARA,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"KHAIRIL ANUAR, ST, M.Si",,,,,GUSI,,,,,
