KOPERASI TIRTA BINA KARYA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
NERACA PERBANDINGAN,,,,,,,,,,,,,,
PER 31 DESEMBER 2025,,,,,,,,,,,,,,
HARTA,,2024.0,2025.0,KEWAJIBAN DAN MODAL SENDIRI,,,2024,2025.0,,,,,,
I. Harta Lancar,,,,,IV. Kewajiban Jk. Pendek,,,,,,,,,
 -,Kas,739324.0,12460347.0,, -,Simpanan Sukarela,80865436,67736378.0,135178121.0,67441743.0,,,,
 -,Bank BRK Syariah,133978032.0,733339185.0,, -,Dana Titipan Anggota,0,0.0,,,,,,
-,Piutang Anggota dari Pengurus Periode 2025,228483000.0,94765344.0,, -,Dana Pendidikan,64016452,65597421.95,,,,810000000.0,133000000.0,943000000.0
-,Piutang Anggota dari Pengurus Periode 2018,73000000.0,73000000.0,, -,Dana Sosial,75776891,76567375.975,,,,,,
 -,Piutang Tak Tertagih/Meninggal,196993000.0,0.0,, -,Dana Pemdaker,61047394,61837878.975,,,,,,
-,Sisa Piutang Pengurus Periode 2025,810000000.0,473000000.0,, -,Dana Cadangan Resiko,367993000,171000000.0,,,,,,
 -,,,,, -,Hutang Pajak,11355553,11355553.0,,,CADANGAN,,12647759.6,
 -,,,,, -,Hutang SHU TB,0,0.0,367993000.0,,SHU BAGIAN ANGGOTA BERJASA,,7904849.75,
-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
-,Jumlah,1443193356.0,1386564876.0,,,,,,,,SHU BAGIAN ANGGOTA MENYIMPAN,,4742909.85,
II. PENYERTAAN,,,,,,,,,,,BAGIAN PENGURUS,,1580969.95,
 -,Simpanan Pada PK-PRI,6981810.0,6981810.0,,, ,,,,,BAGIAN KARYAWAN,,1580969.95,
,Jumlah,6981810.0,6981810.0,,,Jumlah ,661054726,454094607.90000004,171000000.0,,PENDIDIKAN,,1580969.95,
,,,,,,,,,,,SOSIAL ,,790484.975,
II. Harta Tetap,,,,,V. Kewajiban Jk. Panjang,,,,,,PEMDAKER,,790484.975,
 -,Tanah,0.0,0.0,, -,Hutang Bank,0,0.0,,,,,,
 -,Bangunan,0.0,0.0,, -, -,0,0.0,215358229.9,,,,,
 -,Ak. Peny. Bangunan,0.0,0.0,, -,Jumlah ,0,0.0,,,,,,
 -,Iventaris,25303500.0,25303500.0,,V. Modal,,,,,,,,,
 -,Ak. Peny. Inventaris,-5103500.0,-5103500.0,, -,Simpanan Pokok,6120000,5210000.0,4980000.0,230000.0,,,,365326000.0
 -,Jumlah,20200000.0,20200000.0,, -,Simpanan Wajib,246042772,214156000.0,241656000.0,27500000.0,,,,-270560656.0
,,,,,-,Simpanan Wajib  Peminjam,526678220,451533740.0,496375958.0,-44842218.0,,,,
III. Harta Lain-lain,,,,, -,Donasi/Hibah,11958150,11958150.0,,,,,,
 -,Legalitas Kop,0.0,0.0,, -,SHU Tahun Berjalan,18521297.92,30180899.0,738636118.0,,,,,
,`,,,, -,Cadangan,0,246613289.0,,,,,,
,Jumlah,0.0,0.0,,,,,,,,,,,
,,,,, -,Jumlah,809320439.92,959652078.0,1451853868.0,,,,,
TOTAL HARTA,,1470375166.0,1413746686.0,TOTAL  KEWAJIBAN DAN MODAL SENDIRI,,,1470375165.92,1413746685.9,,,,,,365326000.0
,,,,,,,,,-0.09999990463256836,56628480.099999905,,,,270560656.0
,,,,,,,,,,,,,,
,,,,,,,,,,0.07999992370605469,0.09999990463256836,,,
PENGURUS,,,,,,,,,,,,,,
KOPERASI TIRTA BINA KARYA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KETUA,,,,,,,BENDAHARA,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"KHAIRIL ANUAR, ST, M.Si",,,,,,,GUSNI,,,,,,,
