Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
KOPERASI TIRTA BINA KARYA ,,,SETORAN S/P,2497894229.0
ARUS KAS BANK BUKOPIN,,,JASA 2%,49957884.58
JANUARI - SEPTEMBER TAHUN 2020,,,SIMPANAN WAJIB 553 ORANG,16590000.0
Saldo Awal Kas Bank APRIL 2019,,0,,
,,,,
PENERIMAAN,,,,
Penerimaan Pokok Piutang,0,,,
Jasa USP,0,,,
 Simpanan Wajib,0,,,
Pendapatan Bunga Bank,0,,,
Penerimaan Transfer dari Bank Bukopin KPRI,0,,,
Penerimanaan Simpanan Pokok,0,,,
Penerimanaan Simpanan Wajib,0,,,
,0,,,
Jumlah Penerimaan,0,,,
,,,,
PENGELUARAN,0,,,
Penarikan Juli-Desember,0,,,
Biaya Adm Bank,0,,,
Biaya Pajak Bunga Bank,0,,,
,0,,,
,0,,,
Jumlah Pengeluaran,0,,,
Saldo Akhir Kas September 2020,,0,,
,,,,
"PENGURUS,",,,,
KOPERASI TIRTA BINA KARYA ,,,,
,,,,
KETUA,SEKRETARIS,BENDAHARA,,
,,,,
,,,,
,,,,
"KHAIRIL ANUAR, ST, M.si","MAISAR DAMRI, MT",GUSNI,,
