Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
KOPERASI TIRTA BINA KARYA ,,,,
ARUS KAS TUNAI,,,,
APRIL - DESEMBER TAHUN 2020,,,,
Saldo Awal Kas ,,146401448,,
,,,,
PENERIMAAN,,,,
Penerimaan  Pelunasan Piutang Anggota,161242122.44,,PENERIMAAN PELUNASAN PIUTANG CASH,164532778.0
Penerimaan Jasa Piutang Anggota 2%,3290655.56,,,
Tarik Tunai,4808000000.0,,,
Penerimaan SWP,141125610.0,,,
Penerimaan Dana Resiko,70562805.0,,,
Penerimaan Administrasi,23520935.0,,,
Penerimanaan Simpanan Pokok,0.0,,,
Penerimanaan Simpanan Wajib,0.0,,,
,5207742128.0,,,
Jumlah Penerimaan,5354143576.0,,,
,,,,
PENGELUARAN,,,,
Honor Pengurus,60600000.0,,,
Honor Karyawan cs,2400000.0,,,
Dana Karyawan,22500000.0,,,
Pemberian Pinjaman Anggota ,4756987000.0,,,
Pengembalian Simpanan Pokok Anggota Berhenti dan Pensiun ,710000.0,,,
Pengembalian Simpanan Wajib Anggota Berhenti dan Pensiun ,32221000.0,,,
Pengembalian Simpanan Sukarela Anggota Berhenti dan Pensiun ,29805180.0,,,
Pengembalian Simpanan Wajib Peminjam Anggota Berhenti dan Pensiun ,57027040.0,,,
Pengembalian Kelebihan Potongan di Piutang ,3317000.0,,,
Pengambilan Simpanan Sukarela Anggota,62500000.0,,,
Biaya Pembelian Karpet Mesjid Dinas PUPRPKPP Riau,25000000.0,,,
Biaya Pembelian ATK ,3010000.0,,,
Biaya Pembelian Aset Printer,2000000.0,,,
Biaya Pembelian Aset Computer,5000000.0,,,
Biaya Pembelian Aset Lemari Kaca,2400000.0,,,
Biaya Pembelian Aset Lemari File,4700000.0,,,
Biaya Makan Minum Pengurus Koperasi ,3230000.0,,,
Biaya THR Anggota,128600000.0,,,
Biaya RAT Tahun Buku 2019 (2020 COVID TDK ADA RAT),0.0,,,
Jumlah Pengeluaran,5202007220.0,,,
Saldo Akhir Kas 31 DESEMBER 2019,,152136356,,
,,,,
"PENGURUS,",,,,
KOPERASI TIRTA BINA KARYA ,,,0,
,,,,
KETUA,,BENDAHARA,,
,,,,
,,,,
,,,,
"KHAIRIL ANUAR, ST, M.Si",,GUSNI,,
