Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
BUKU BESAR,,,,,,
,,,,,,
,,,,,,
KAS,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo awal,,,739324,0,
2,Penerimaan Pokok Piutang,23520000,,24259324,,
,Pendapatan Jasa USP,480000,,24739324,,
,Tarik Tunai Bank BRK,575180000,,599919324,,
,Tarik Tunai Bank ,0,,599919324,,
,SWP,13149000,,613068324,,
,Dana Resiko,6574500,,619642824,,
,Pendapatan Admnistrasi,2191500,,621834324,,
,honor pengurus,,13950000,607884324,,
,honor badan pengurus,,0,607884324,,
,honor karyawan CS,,2200000,605684324,,
,Pemberian Pinjaman Anggota (Penguru Baru),,475800000,129884324,,
,Pemberian Pinjaman Anggota (Penguru Lama),,0,129884324,,
,Pengembalian Simpanan Pokok,,450000,129434324,,
,Pengembalian Simpanan Wajib,,16106000,113328324,,
,Pengembalian Simpanan Sukarela,,9427127,103901197,,
,Pengembalian SWP ,,42081850,61819347,,
,Biaya ATK,,3249000,58570347,,
,Biaya Servis Printer,,350000,58220347,,
,Biaya Sumbangan,,0,58220347,,
,THR Anggota,,24900000,33320347,,
,Biaya Konsumsi,,3000000,30320347,,
,Biaya RAT Tahun 2020,,3500000,26820347,,
,Biaya pengembalian Piutang,,6730000,20090347,,
,Pengembalian Simpanan SWP  Angg. A,,4630000,15460347,,
,Pengembalian Simpanan Sukarela  Angg. A,,0,15460347,,
,Pengambilan Dana Sukarela untuk Bagian  Dana Karyawan ,,0,15460347,,
,Biaya Pemberian Santunan Anak Yatim,,0,15460347,,
,Biaya Pembelian Mukena Mesjid Dinas PUPRPKPP,,0,15460347,,
,Biaya Pembelian Sarung untuk Mesjid Dinas PUPRPKPP,,0,15460347,,
,Pembelian Inventaris (AC),,0,15460347,,
,BIAYA BANTUAN ,,500000,14960347,,
,Biaya Operasional,,10000000,4960347,,
,Biaya Pembukuan Rekapan Laporan 2019-2024,,,,,
,Biaya lainlain oleh pengurus lama,,0,,,
,,621095000,,,,
,,,,,,
BANK,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo awal,,,0,,
2,setor bank,,,0,,
,Penerimaan Pokok Piutang,0,,0,,
,Pendapatan jas USP,0,,0,,
,Penerimaan simpanan wajib,0,,0,,
,Penerimaan Bunga Bank,0,,0,,
,Tarik Tunai Pengurus,,,0,,
,Transfer dari Rek Bukopin KPRI ke Rek BRK Syariah KPRI,,0,0,,
,Biaya ATK,,0,0,,
,Biaya Adm ,,0,0,,
,Biaya Pajak Bank,,0,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,,,
BANK BRK,,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET,
1,Saldo awal,,,133978032,,
2,setor bank,,,133978032,,
,Penerimaan Pokok Piutang,516620298,,650598330,,
,Pendapatan jas USP,88820800,,739419130,,
,Penerimaan simpanan wajib,14400000,,753819130,,
,Penerimaan Bunga Bank,420627,,754239757,,
,Penerimaan Transfer dari Rek Bukopin ke BRK,0,,754239757,,
,Tarik Tunai Pengurus,,575180000,179059757,,
,Transfer dari Rek Bukopin KPRI ke Rek BRK Syariah KPRI,,0,179059757,,
,Biaya ATK,,0,179059757,,
,Biaya Adm ,,0,179059757,,
,Biaya Pajak Bank,,83028,178976729,,
,Penerimaan uang dari pengurus lama,410000000,,588976729,,
,,,,588976729,,
,,,,588976729,,
,,,,,,
PIUTANG ANGGOTA,,,,,,
