Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
BUKU BESAR,,,,,
PENDAPATAN JASA,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,,0,
2,pendapatan jasa Piutang dari bank BUKOPIN,,0,0,
,pendapatan jasa Piutang dari bank BRK,,88820800,88820800,
,pendapatan jasa Piutang dari Kas,,480000,89300800,
,,,,89300800,
,,,,89300800,
,,,,,
PENDAPATAN ADM,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,,0,
2,,0,2191500,2191500,
,,0,0,2191500,
,,0,0,2191500,
,,,,2191500,
,,,,,
PENDAPATAN ADM,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,,0,
2,,0,0,0,
,,0,0,0,
,,0,0,0,
,,,,0,
,,,,,
FEE PUPUK,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,,0,
2,,0,0,0,
,,0,0,0,
,,0,0,0,
,,,,0,
,,,,,
FEE BRI + BPD,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,,0,
2,,0,0,0,
,,0,0,0,
,,0,0,0,
,,,,0,
,,,,,
PENDAPATAN JASA BANK,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,,0,
2,Pendapatan Bunga Bank BUKOPIN,0,0,0,
,Pendapatan Bunga Bank BRK,0,420627,420627,
,,0,0,420627,
,,,,420627,
,,,,,
HONOR PENGURUS,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,,0,
2,gaji pengurus,13950000,0,13950000,
,,0,0,13950000,
,,0,0,13950000,
,,,,13950000,
,,,,,
HONOR BADAN PENGAWAS,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,,0,
2,gaji Badan Pengawas,0,0,0,
,,0,0,0,
,,0,0,0,
,,,,0,
,,,,,
,,,,,
,,,,,
HONOR KARYAWAN CS,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,,0,
2,gaji karyawan,2200000,0,2200000,
,,0,0,2200000,
,,0,0,2200000,
,,,,2200000,
,,,,,
BIAYA ADM BANK,,,,,
NO,TRANSAKSI,DEBET,KREDIT,SALDO,KET
1,,,0,0,
,BIAYA ADM BANK BUKOPIN,0,0,0,
