Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,JURNAL KAS BANK MASUK BUKOPIN,,,,,,,
,,,,,,,,
,1 PIUTANG,,,,,,,
,PENERIMAAN PIUTANG,,,DEBIT ,KREDIT,KET,,
,,BANK,,0,,,,
,,,PIUTANG,,0,,,
,,,,,,,,
,,,,,,,,
,2. JASA USP,,,,,,,
,PENERIMAAN JASA USP,,,DEBIT ,KREDIT,KET,,
,,BANK,,0,,,,
,,,JASA USP,,0,,,
,,,,,,,,
,,,,,,,,
,2. SIMPANAN WAJIB,,,,,,,
,SIMPANAN WAJIB,,,DEBIT ,KREDIT,KET,,
,,BANK,,0,,,,
,,,SIMPANAN WAJIB,,0,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,2. BUNGA BANK,,,,,,,
,BUNGA BANK,,,DEBIT ,KREDIT,KET,,
,,BANK,,0,,,,
,,,BUNGA BANK,,0,,,
,,,,,,,,
,,,,,,,,
,PENGELUARAN,,,,,,,
,,,,,,,,
,1. PENARIKAN,,,,,,,
,PENARIKAN,,,DEBIT ,KREDIT,KET,,
,,PENARIKAN,,0,,,,
,,,BANK,,0,,,
,,,,,,,,
,,,,,,,,BSNK RIAU PADA BANK BUKO
,1. Transfer dari REK BUKOPIN KPRI ke REK BRK SYARIAH KPRI,,,,,,,
,Transfer dari REK BUKOPIN KPRI ke REK BRK SYARIAH KPRI,,,DEBIT ,KREDIT,KET,,
,,Transfer ,,0,,,,
,,,BANK,,0,,,
,,,,,,,,
,,,,,,,,
,1. PENGELUARAN BIAYA ADM,,,,,,,
,BIAYA ADM ,,,DEBIT ,KREDIT,KET,,
,,ADM,,0,,,,
,,,BANK,,0,,,
,,,,,,,,
,,,,,,,,
,1. PENGELUARAN PAJAK BANK,,,,,,,
,PAJAK BANK,,,DEBIT ,KREDIT,KET,,
,,PAJAK BANK,,0,,,,
,,,BANK,,0,,,
,,,,,,,,
,,,,,,,,
,JURNAL KAS BANK MASUK BRK,,,,,,,
,,,,,,,,
,1 PIUTANG,,,,,,,
,PENERIMAAN PIUTANG,,,DEBIT ,KREDIT,KET,662480345.952381,
,,BANK,,516620298,,,,
,,,PIUTANG,,516620298,,,
,,,,,,,,
,,,,,,,,
,2. JASA USP,,,,,,,
,PENERIMAAN JASA USP,,,DEBIT ,KREDIT,KET,,
,,BANK,,88820800,,,,
,,,JASA USP,,88820800,,,
,,,,,,,,
,,,,,,,,
,2. SIMPANAN WAJIB,,,,,,,
,SIMPANAN WAJIB,,,DEBIT ,KREDIT,KET,,
,,BANK,,14400000,,,,
,,,SIMPANAN WAJIB,,14400000,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,2. BUNGA BANK,,,,,,,
,BUNGA BANK,,,DEBIT ,KREDIT,KET,,
,,BANK,,420627,,,,
,,,BUNGA BANK,,420627,,,
,,,,,,,,
,,,,,,,,
,2. PENERIMAAN TRANSFER DARI BANK BUKOPIN,,,,,,,
,PENERIMAAN TRANSFER DARI BANK BUKOPIN,,,DEBIT ,KREDIT,KET,,
,,BANK,,0,,,,
,,,BUNGA BANK,,0,,,
,,,,,,,,
,,,,,,,,
,PENGELUARAN,,,,,,,
,,,,,,,,
,1. PENARIKAN,,,,,,,
,PENARIKAN,,,DEBIT ,KREDIT,KET,,
,,PENARIKAN,,541180000,,,,
,,,BANK,,541180000,,,
,,,,,,,,
,,,,,,,,
,1. Transfer dari REK BUKOPIN KPRI ke REK BRK SYARIAH KPRI,,,,,,,
,Transfer dari REK BUKOPIN KPRI ke REK BRK SYARIAH KPRI,,,DEBIT ,KREDIT,KET,,
,,Transfer ,,,,,,
,,,BANK,,0,,,
,,,,,,,,
,,,,,,,,
,1. PENGELUARAN BIAYA ADM,,,,,,,
,BIAYA ADM ,,,DEBIT ,KREDIT,KET,,
,,ADM,,0,,,,
,,,BANK,,0,,,
,,,,,,,,
,,,,,,,,
,1. PENGELUARAN PAJAK BANK,,,,,,,
,PAJAK BANK,,,DEBIT ,KREDIT,KET,,
,,PAJAK BANK,,83028,,,,
,,,BANK,,83028,,,
