Unnamed: 0,JURNAL KAS MASUK,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,1. PIUTANG,,,,,
,PENERIMAAN PIUTANG,,,DEBIT ,KREDIT,KET
,,KAS,,23520000,,
,,,PIUTANG,,23520000,
,,,,,,
,1. JASA PIUTANG,,,,,
,PENERIMAAN JASA PIUTANG,,,DEBIT ,KREDIT,KET
,,KAS,,480000,,
,,,PIUTANG,,480000,
,,,,,,
,,,,,,
,2. TARIK TUNAI ,,,,,
,TARIK TUNAI,,,DEBIT ,KREDIT,KET
,,KAS,,575180000,,
,,,BANK,,575180000,
,,,,,,
,2. TARIK TUNAI PENGURUS LAMA,,,,,
,TARIK TUNAI,,,DEBIT ,KREDIT,KET
,,KAS,,0,,
,,,BANK,,0,
,,,,,,
,,,,,,
,3. PENERIMAAN SWP,,,,,
,PENERIMAAN SWP,,,DEBIT ,KREDIT,KET
,,KAS,,13149000,,
,,,SWP,,13149000,
,,,,,,
,,,,,,
,4. PENERIMAAN DANA RESIKO,,,,,
,PENERIMAAN DANA RESIKO,,,DEBIT ,KREDIT,KET
,,KAS,,6574500,,
,,,DANA RESIKO,,6574500,
,,,,,,
,,,,,,
,5. PENDAPATAN ADMINISTRASI,,,,,
,PENDAPATAN ADMINISTRASI,,,DEBIT ,KREDIT,KET
,,KAS ,,2191500,,
,,,PENDAPATAN ADMINISTRASI,,2191500,
,,,,,,
,,,,,,
,,,,,,
,JURNAL KAS KELUAR,,,,,
,,,,,,
,1. HONOR PENGURUS,,,,,
,BIAYA HONOR PENGURUS,,,DEBIT ,KREDIT,KET
,,HONOR PENGURUS,,13950000,,
,,,KAS,,13950000,
,,,,,,
,,,,,,
,2. HONOR KARYAWAN / CS,,,,,
,BIAYA HONOR KARYAWAN/ CS,,,DEBIT ,KREDIT,KET
,,HONOR KARYAWAN/ CS,,2200000,,
,,,KAS,,2200000,
,,,,,,
,,,,,,
,3. PENGEMBALIAN SIMPANAN POKOK,,,,,
,SIMPANAN POKOK,,,DEBIT ,KREDIT,KET
,,SIMPANAN POKOK,,450000,,
,,,KAS,,450000,
,,,,,,
,,,,,,
,3. PENGEMBALIAN SIMPANAN WAJIB,,,,,
,SIMPANAN WAJIB,,,DEBIT ,KREDIT,KET
,,SIMPANAN WAJIB,,16106000,,
,,,KAS,,16106000,
,,,,,,
,,,,,,
,3. PENGEMBALIAN SIMPANAN SUKARELA BERHENTI/PENSIUN,,,,,
,SIMPANAN SUKARELA,,,DEBIT ,KREDIT,KET
