Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,,,
,,,,,,
,2. HUTANG SHU TB 2018,,,,,
,HUTANG SHU ,,,DEBIT ,KREDIT,KET
,,HUTANG SHU TAHUN 2018,,30180899,,
,,,CADANGAN,,12072359.600000001,
,,,SHU BAGIAN ANGGOTA BERJASA,,7545224.75,
,,,SHU BAGIAN ANGGOTA MENYIMPAN,,4527134.85,
,,,BAGIAN PENGURUS,,1509044.9500000002,
,,,BAGIAN KARYAWAN,,1509044.9500000002,
,,,PENDIDIKAN,,1509044.9500000002,
,,,SOSIAL ,,754522.4750000001,
,,,PEMDAKER,,754522.4750000001,
,,,,,30180899.000000004,
,,,,,,
,Cadangan,0.4,30180899,12072359.600000001,,
,SHU Anggota Berjasa,0.25,30180899,7545224.75,,
,SHU Anggota Penyimpanan,0.15,30180899,4527134.85,,
,Dana Pengurus,0.05,30180899,1509044.9500000002,,
,Dana Karyawan,0.05,30180899,1509044.9500000002,,
,Dana Pendidikan,0.05,30180899,1509044.9500000002,,
,Dana Sosial,0.025,30180899,754522.4750000001,,
,Dana Pemb. Daerah Kerja,0.025,30180899,754522.4750000001,,
