KOPERASI .........................................,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
NERACA PERBANDINGAN,,,,,,,,,
PER 31 DESEMBER 2023,,,,,,,,,
HARTA,,2022.0,2023,KEWAJIBAN DAN MODAL SENDIRI,,,2022.0,2023.0,
I. Harta Lancar,,,,,IV. Kewajiban Jk. Pendek,,,,
 -,Kas,5000000.0,,, -,Hutang SHU TB 2022,0.0,43136284.0,
 -,Bank,500000.0,0,, -,Hutang Hutang kepada pihak III,40000000.0,0.0,
 -,Piutang Anggota,0.0,2700808293,, -,,0.0,114016452.0,
,Jumlah,5500000.0,,,,Jumlah ,40000000.0,157152736.0,
,,,,,,,,,
II. Harta Tetap,,,,,V. Kewajiban Jk. Panjang,,,,
 -,Tanah,0.0,0,, -,Hutan Kepada Pengurus,200000000.0,75776891.0,
 -,Bangunan,0.0,0,, -, -,0.0,0.0,
 -,Ak. Peny. Bangunan,0.0,0,, -,Jumlah ,200000000.0,75776891.0,
 -,Peralatan Kantor,0.0,25303500,,,,,,
 -,Ak. Peny. Peralatan Kantor,0.0,-5103500,,V. Modal,,,,
 -,Truck,300000000.0,,, -,Simpanan Pokok,5000000.0,8225000.0,
 -,Ak. Peny. Truck,-40000000.0,,, -,Simpanan Wajib,20500000.0,337760245.0,
 -,Gudang Pupuk,0.0,,, -,Cadangan ,0.0,1469969423.0,
 -,Ak. Peny. Gudang Pupuk,0.0,,, -,Donasi/Hibah,0.0,11958150.0,
 -,Jumlah,260000000.0,,, -,SHU Rugi TB,0.0,0.0,
,,,,, -,SHU Tahun Berjalan,8000000.0,30180899.0,
III. Harta Lain-lain,,,,, -,Jumlah,33500000.0,1858093717.0,
 -,Legalitas Kop,10000000.0,0,,,,,,
 -,Ak. Penyusutan,-2000000.0,0,,,,,,
,Jumlah,8000000.0,0,,,,,,
TOTAL HARTA,,273500000.0,,TOTAL  KEWAJIBAN DAN MODAL SENDIRI,,,273500000.0,2091023344.0,
,,,,,,,,,
,,,,,,,,,
PENGURUS,,,,,,,,,
KOPERASI .......................................,,,,,,,,,
,,,,,,,,,
KETUA,,,SEKRETARIS,,,BENDAHARA,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
.................................,,,..............................,,,............................................,,,
