PENJELASAN POS-POS PHU,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
1.0,Pendapatan .....................................................................................................,,,Rp.,91912927.0
,"Jumlah tersebut merupakan saldo Pendapatan Per 31 Desember 2023, terdiri dari :",,,,
,Fee TBS Plasma,Rp.,89300800.0,,
,Fee Transport TBS,Rp.,0.0,,
,Fee TBS PKR,Rp.,2191500.0,,
,Fee Pupuk,Rp.,0.0,,
,Fee BRI dan BPD,Rp.,420627.0,,
,Pendapatan Jasa Bank,Rp.,0.0,,
,Jumlah,Rp.,91912927.0,,
,,,,,
2.0,Biaya Operasional ............................................................................................,,,Rp.,
,"Jumlah tersebut merupakan saldo Biaya Operasional  Per 31 Desember 2023, terdiri dari :",,,,
,Honor Pengurus,Rp.,13950000.0,,
,Honor Badan Pengawas,Rp.,0.0,,
,Honor Krani,Rp.,2200000.0,,
,Biaya Operasional,Rp.,0.0,,
,Biaya Cetak,Rp.,,,
,Biaya ATK dan Fotokopy,Rp.,3249000.0,,
,Biaya Dana Sosial,Rp.,83028.0,,
,Biaya Pelatihan,Rp.,0.0,,
,Biaya THR Anggota,Rp.,24900000.0,,
,Biaya Pupuk Paket,Rp.,,,
,Biaya Kosumsi,Rp.,3000000.0,,
,Biay PLN/Koran,Rp.,10000000.0,,
,Biaya Perawatan Kantor dan Lingkungan,Rp.,500000.0,,
,Biaya Adm Bank,Rp.,0.0,,
,Biaya RAT TB ,Rp.,3500000.0,,
,Biaya Penyusutan Bangunan,Rp.,350000.0,,
,Biaya Penyusutan Peralatan Kantor,Rp.,0.0,,
,Biaya Penyusutan Gudang Pupuk,Rp.,0.0,,
,Biaya Penyusutan Komputer,Rp.,0.0,,
,Jumlah ,Rp.,,,
,,,,,
3.0,SHU Tahun Berjalan ............................................................................................,,,Rp.,
