Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
KOPERASI TIRTA BINA KARYA ,,,,
ARUS KAS,,,,
TAHUN 2025,,,,
Saldo Awal Kas Th 2024,,739324,,
,,,,
PENERIMAAN,,,,
Penerimaan Pokok Piutang,23520000.0,,,
Pendapatan Jasa USP,480000.0,,,24000000
Tarik Tunai,575180000.0,,,480000
Pinjaman Sementara dari Dana Pengurus untuk pinjaman anggota,164935763.0,,425180000,
SWP,13149000.0,,410244237,
Dana Resiko,6574500.0,,270244237,UANG DI REK KOPERASI
Administrasi,2191500.0,,,
Penerimanaan Simpanan Pokok,0.0,,,
Penerimanaan Simpanan Wajib,0.0,,410244237,
,786030763.0,,265244237,
Jumlah Penerimaan,786770087.0,,,
,,,,
PENGELUARAN,,,,
Honor Pengurus,13950000.0,,,
Honor CS & Keamanan,2200000.0,,,
Biaya Dana Pengurus,0.0,,,
Stor Ke Bank,0.0,,,
Pemberian Pinjaman Anggota ,475800000.0,,Pemberian Pinjaman Anggota ,477950000
Pembayaran ke Dana Pengurus yang dipakai sementara untuk pemberian piutang anggota ,164935763.0,,,
Pengembalian Simpanan Pokok Anggota Berhenti dan Pensiun ,450000.0,,,80000000
Pengembalian Simpanan Wajib Anggota Berhenti dan Pensiun ,16106000.0,,,557950000
Pengembalian Simpanan Sukarela Anggota Berhenti dan Pensiun ,9427127.0,,,
Pengembalian Simpanan Wajib Peminjam Anggota Berhenti dan Pensiun ,42081850.0,,,143514345
Pengembalian Kelebihan Potongan,6730000.0,,,414435655
Pengambilan SWP Anggota Aktif,4630000.0,,,
Pengambilan Sukarela Anggota Aktif,0.0,,,
Biaya Bantuan Dinas Koperasi ,500000.0,,,
Biaya ATK ,3249000.0,,,
Biaya THR Anggota,24900000.0,,,
Biaya Konsumsi Makan Minum,3000000.0,,,
Biaya Servis Printer,350000.0,,,
Biaya Operasional Tim Koperasi ,10000000.0,,,
Biaya RAT Tahun Buku 2024,3500000.0,,,
Biaya Pembelian Aset,0.0,,,
Biaya Operasional Laporan Pengurus,4000000.0,,,
Jumlah Pengeluaran,785809740.0,,,
Saldo Akhir Kas,,960347,,
,,,,
"PENGURUS,",,,,
KOPERASI TIRTA BINA KARYA ,,,,
,,,,
KETUA,,BENDAHARA,,
,,,,
,,,,
,,,,
"KHARIL ANUAR, ST, M.Si",,GUSNI,,
