TRANSAKSI BANK RIAU KEPRI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,2025,Unnamed: 11
NO,BLN,,PENERIMAAN,,,PENGELUARAN,,,,,
,,,SETORAN DARI S/P,BUNGA BANK,JUMLAH PENERIMAAN,PENARIKAN,BIAYA ADM BANK,PAJAK BANK,JUMLAH PENGELUARAN,SALDO BANK,
,,,Saldo s.d Desember 2024,,,,,,,133978032,
1,JAN,tpp des 2024,88090353,92538,88182891,85000000,,18508,85018508,137142415,
2,FEB,,0,25498,25498,135000000,,5100,135005100,2162813,
3,MAR,tpp jan-feb,95110334,10687,95121021,107000000,,2137,107002137,-9718303,
4,APR,tpp mar,49542000,4599,49546599,48000000,,0,48000000,-8171704,
5,MEI,tpp april,52944252,7627,52951879,53000000,,1525,53001525,-8221350,
6,JUNI,tpp mei,58444214,18736,58462950,5000000,,3747,5003747,45237853,
7,JULI,tpp juni,59100250,60539,59160789,6500000,,11930,6511930,97886712,
8,AGUST,tpp juli,58580881,85919,58666800,53530000,,17184,53547184,103006328,
9,SEPT,tpp agust,61548081,114484,61662565,43000000,,22897,43022897,121645996,133978032.0
10,OKT,tpp sept,66480962,,66480962,5150000,,,5150000,182976958,
11,NOV,,,,0,,,,0,182976958,
12,DES,,,,0,,,,0,182976958,
,,,589841327,420627,590261954,541180000,0,83028,541263028,,
,,,,,,,,,,,
JASA,JAN,,9390000,,,34000000,,,,,
,FEB,,7070000,,,,,,,,
,MAR,,7726000,,,,,,,,
,APR,,8006000,,,,,,,,
,MEI,,8390000,,,,,,,,
,JUNI,,8290000,,,398180000,,,,,
,JULI,,8390000,,PIUTANG,395680000,,,,,
,AGUST,,8360000,,,89000000,,,,,
,SEPT,,8323200,,,484680000,,,398180000,,
,OKT,,7665200,,,355000000,,,,,
,NOV,,4673200,,,,,,,,
,DES,,2537200,,,122000000,,,,,
,,,88820800,,,,,,416000000,,
,,,,,,,339680000,,,,
,,,,,,,,,,,
NO,BLN,,PENERIMAAN,,,PENGELUARAN,,,,,
,,,SETORAN DARI S/P,BUNGA BANK,JUMLAH PENERIMAAN,PENARIKAN,BIAYA ADM BANK,PAJAK BANK,JUMLAH PENGELUARAN,SALDO BANK,
,,,Saldo s.d Desember 2024,,,,,,,133978032,
1,JAN,,88090353,92538,88182891,85000000,,18508,85018508,137142415,
2,FEB,,0,25498,25498,135000000,,5100,135005100,2162813,
3,MAR,tpp jan,48837667,10687,48848354,107000000,,2137,107002137,-55990970,
,MAR,tpp feb,46272667,0,,,,,,-55990970,
,MAR,Pembayran piutang angg,10000000,,,,,,,-55990970,
4,APR,tpp mar,49542000,4599,49546599,48000000,,0,48000000,-54444371,
5,MEI,tpp april,52944252,7627,52951879,53000000,,1525,53001525,-54494017,
6,JUNI,tpp mei,58444214,18736,58462950,5000000,,3747,5003747,-1034814,
7,JULI,tpp juni,59100250,60539,59160789,6500000,,11930,6511930,51614045,
8,AGUST,tpp juli,58580881,85919,58666800,53530000,,17184,53547184,56733661,
9,SEPT,tpp agust,61548081,114484,61662565,43000000,,22897,43022897,75373329,133978032.0
10,OKT,tpp sept,66480962,131020,66611982,39150000,,26204,39176204,102809107,
11,NOV,tpp okt,63297447,142496,63439943,0,,28499,28499,166220551,
12,DES,tpp nov,41016356,0,41016356,2700000,,,2700000,204536907,
,,,616064777,,,577880000,,,,,
